playlist_subgenre,danceability,energy,acousticness,instrumentalness,valence
album rock,0.5250197183098592,0.6641887323943662,0.20590511464788733,0.07545122585915492,0.5208444131455399
big room,0.6195505804311774,0.8603159203980099,0.04241123366500829,0.2389045054145937,0.32409087893864014
classic rock,0.5453958333333333,0.6992399691358024,0.19135070649691358,0.05003958201388889,0.6099582561728395
dance pop,0.6557519260400617,0.7421887519260401,0.14416114560862864,0.048889673590138676,0.5052105546995377
electro house,0.7016280608868299,0.8000436796823296,0.09287462788881534,0.3212284925082727,0.42870079417604234
electropop,0.6386090198863636,0.7232689630681818,0.13455460509232953,0.10084048147727272,0.5123421874999999
gangster rap,0.7240253772290809,0.6885493827160494,0.15290190205761317,0.015051047640603566,0.5049319615912208
hard rock,0.4880835016835017,0.8285407407407408,0.0618643162962963,0.04535566864646465,0.48005771043771045
hip hop,0.7196278366111951,0.5659398638426626,0.3080590069742814,0.21885065378214827,0.509256656580938
hip pop,0.6754235668789809,0.6218703025477708,0.2551728041401274,0.03162924171178344,0.5144281847133758
indie poptimism,0.6295962918660287,0.6402295454545455,0.23398505239832537,0.06801477233253589,0.4599616626794258
latin hip hop,0.723135265700483,0.7262983091787439,0.15291240416666665,0.0439544344384058,0.6182759661835748
latin pop,0.6861109350237717,0.6890499207606973,0.24743873692551507,0.014785805641838352,0.6073688589540412
neo soul,0.6450152718387294,0.5416848503359805,0.31441191991447776,0.0413618779169212,0.5100425778863775
new jack swing,0.7233645189761695,0.6503240953221535,0.1379956240070609,0.015187886081200353,0.6555856134157105
permanent wave,0.5307239819004526,0.7096828054298642,0.14450884986425339,0.08730150057013575,0.5451032579185521
pop edm,0.6477435728411338,0.7425431773236651,0.13645904568226763,0.04793477287409361,0.46477231377719186
post-teen pop,0.6356262178919397,0.7160078299379983,0.153023619574845,0.009367450611160318,0.5550870682019486
progressive electro house,0.6459076838032062,0.8162061912658928,0.05198250066334992,0.26238478966832507,0.37450591487009394
reggaeton,0.7609536354056902,0.7465152792413067,0.20128504320337198,0.0037606948893572183,0.6789863013698629
southern hip hop,0.7146805970149254,0.6809223880597015,0.1174090528,0.02248069386865672,0.5541825671641791
trap,0.7154051123160341,0.6555755228505035,0.21621793013168086,0.06797813111541441,0.4373069713400465
tropical,0.6921326086956522,0.6759136451863355,0.2568204823757764,0.10412038494565216,0.5331395574534161
urban contemporary,0.6519217081850535,0.5727686832740213,0.29893157359430605,0.023076653964412813,0.4706572241992883
